Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,"Population, total",SP.POP.TOTL,66912613,79001142,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029,98186856,98858950
Viet Nam,VNM,Population growth (annual %),SP.POP.GROW,2.18510462921386,1.11686737378671,1.06639876535975,1.04227094610537,1.00922663268309,0.968719959338428,0.932840031984421,0.904491214904611,0.906299234852032,0.84418167703331,0.734794057662508,0.682172962745761
Viet Nam,VNM,Surface area (sq. km),AG.SRF.TOTL.K2,331030,329240,331230,331230,331230,331230,331240,331310,331340,331340,..,..
Viet Nam,VNM,Population density (people per sq. km of land area),EN.POP.DNST,205.575019201819,253.973966437343,291.142141423425,294.181235102096,297.161429797662,300.038761594497,302.825616008729,305.577071681306,308.359102061392,310.973231577167,..,..
Viet Nam,VNM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,9.2,7.9,6.8,5.7,4.8,..,4.3,..
Viet Nam,VNM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,1.9,..,1.3,..,1.2,..,0.7,..,1,..
Viet Nam,VNM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,8528434790.72779,30203568807.3992,218738113959.911,228398373125.457,240485782014.193,255477906845.945,290784413858.686,319511868951.44,333828705279.758,350317100943.686,394874978957.947,412944119224.219
Viet Nam,VNM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,130,380,2400,2480,2580,2720,3060,3340,3450,3590,4020,4180
Viet Nam,VNM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,75266904220.2184,199414106877.927,643626834554.391,675964750828.809,743900376751.093,820021816285.019,914187294043.872,1017913175806.38,1089957330437.95,1131072479989.59,1312688656261.84,1423576253606.39
Viet Nam,VNM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1120,2520,7050,7330,7990,8720,9630,10630,11280,11600,13370,14400
